company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Cognate Inc.,"Milpitas, CA, US",AI/Data Scientist,2019-07-16,"We are looking for candidates for the following direct client position. Must have 3-5 years of experience with strong AI/ML, Big data. ...",https://www.linkedin.com/jobs/view/ai-data-scientist-at-cognate-inc-1374617892?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Cognate Inc.Milpitas, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Staffing and Recruiting"
"PARC, a Xerox Company","Palo Alto, CA, US",Sr. AI Research Scientist,2019-08-04,The ideal candidate exhibits a deep understanding of general principles of various model-based reasoning approaches as well as curiosity ...,https://www.linkedin.com/jobs/view/sr-ai-research-scientist-at-parc-a-xerox-company-1411636934?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"PARC, a Xerox CompanyPalo Alto, CA, US 
",Mid-Senior level,Full-time,Other,"Electrical/Electronic Manufacturing, Computer Software, Research"
Vanguard,"Malvern, PA, US",Senior Data Scientist / Artificial Intelligence / Machine Learning / AI/ML Scientist,2019-07-24,"And so can you. You will apply your advanced data analytics, artificial intelligence/machine learning knowledge and experience to ...",https://www.linkedin.com/jobs/view/senior-data-scientist-artificial-intelligence-machine-learning-ai-ml-scientist-at-vanguard-1393127155?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"VanguardMalvern, PA, US 
",Associate,Full-time,Other,"Information Technology and Services, Computer Software, Financial Services"
Highmark Health,"Pittsburgh, PA, US",Artificial Intelligence (AI) Scientist,2019-07-23,"The incumbent is responsible for creation of written reports, presentation and data visualizations that draws clear lines between the ...",https://www.linkedin.com/jobs/view/artificial-intelligence-ai-scientist-at-highmark-health-1390004406?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Highmark HealthPittsburgh, PA, US 
",Associate,Full-time,Other,Hospital & Health Care
Google,"Mountain View, CA, US","Research Scientist, Machine Learning and Intelligence",2019-02-16,"We’ve already been joined by some of the best minds, and we’re looking for talented Research Scientists that have applied experience in...",https://www.linkedin.com/jobs/view/research-scientist-machine-learning-and-intelligence-at-google-1166155077?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GoogleMountain View, CA, US 
",Not Applicable,Full-time,Other,"Information Services, Internet"
Electronic Arts (EA),"Redwood City, CA, US",AI Scientist - NLP Focus,2019-07-08,The EA Digital Platform Data & AI Group is responsible for providing unified Artificial Intelligence (AI) resources across all franchises...,https://www.linkedin.com/jobs/view/ai-scientist-nlp-focus-at-electronic-arts-ea-1396700547?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Electronic Arts (EA)Redwood City, CA, US 
",Not Applicable,Full-time,Other,"Computer Games, Information Technology and Services, Computer Software"
"Skyworks Solutions, Inc.","Beaverton, OR, US",Principal Artificial Intelligence Systems Engineer,2019-08-03,"Skyworks is looking for an energetic, talented researcher in the area of artificial intelligence & speech recognition to join us in ...",https://www.linkedin.com/jobs/view/principal-artificial-intelligence-systems-engineer-at-skyworks-solutions-inc-1398338919?position=17&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Skyworks Solutions, Inc.Beaverton, OR, US 
",Not Applicable,Full-time,Other,"Semiconductors, Telecommunications, Wireless"
Quantitative Systems,"New York, New York, United States",Artifical Intelligence (AI) Research Scientist,2019-08-02,"Experience with distributed computational frameworks (YARN, Spark, Hadoop) 5+ years of experience programming in C++, Python or Java. A ...",https://www.linkedin.com/jobs/view/artifical-intelligence-ai-research-scientist-at-quantitative-systems-741320053?position=18&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Quantitative SystemsNew York, New York, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
",Mid-Senior level,Full-time,"Information Technology, Engineering, Finance","Computer Software, Information Technology and Services, Information Services"
"Baidu, Inc.","Sunnyvale, CA, US",Big Data & AI Postdoctoral Researcher,2019-04-27,This fellowship should be an excellent opportunity for outstanding fresh PhD graduates who hope to spend one or two years in an industry ...,https://www.linkedin.com/jobs/view/big-data-ai-postdoctoral-researcher-at-baidu-inc-1283667342?position=19&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Baidu, Inc.Sunnyvale, CA, US 
",Entry level,Full-time,"Research, Analyst, Information Technology","Information Technology and Services, Computer Software, Research"
Guidehouse,"Washington, D.C., DC, US",AI Data Scientist/NLP Engineer,2019-07-06,"We are seeking individuals with both an understanding of the state of the art in NLP research and operational experience, in order to ...",https://www.linkedin.com/jobs/view/ai-data-scientist-nlp-engineer-at-guidehouse-1403741756?position=20&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GuidehouseWashington, D.C., DC, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Management Consulting, Financial Services"
Ronin Project,"San Mateo, CA, US",Senior Machine Learning and AI Data Scientist,2019-07-05,What You Will Do. Our mission is to dramatically improve cancer care by giving doctors and patients the tools they need to make better ...,https://www.linkedin.com/jobs/view/senior-machine-learning-and-ai-data-scientist-at-ronin-project-1403634683?position=21&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Ronin ProjectSan Mateo, CA, US 
",Associate,Full-time,Other,"Computer Software, Internet, Hospital & Health Care"
